201				
Z	TKE	omega	TI	L
3.70587E-03	5.75063E-03	1.91803E+02	5.49359E-02	4.39299E-03
3.75566E-03	5.64736E-03	1.89605E+02	5.44406E-02	4.40383E-03
3.80566E-03	5.54274E-03	1.87415E+02	5.39340E-02	4.41383E-03
3.85588E-03	5.43675E-03	1.85233E+02	5.34159E-02	4.42292E-03
3.90629E-03	5.32940E-03	1.83053E+02	5.28860E-02	4.43118E-03
3.95689E-03	5.22056E-03	1.80871E+02	5.23433E-02	4.43861E-03
4.00766E-03	5.10991E-03	1.78676E+02	5.17858E-02	4.44527E-03
4.05861E-03	4.99679E-03	1.76450E+02	5.12095E-02	4.45124E-03
4.10971E-03	4.88096E-03	1.74223E+02	5.06126E-02	4.45558E-03
4.16096E-03	4.76226E-03	1.72018E+02	4.99936E-02	4.45749E-03
4.21235E-03	4.64047E-03	1.69818E+02	4.93503E-02	4.45712E-03
4.26387E-03	4.51628E-03	1.67599E+02	4.86856E-02	4.45530E-03
4.31550E-03	4.39189E-03	1.65347E+02	4.80106E-02	4.45335E-03
4.36724E-03	4.27099E-03	1.63089E+02	4.73456E-02	4.45243E-03
4.41908E-03	4.15716E-03	1.60875E+02	4.67109E-02	4.45315E-03
4.47100E-03	4.05091E-03	1.58741E+02	4.61107E-02	4.45497E-03
4.52299E-03	3.94862E-03	1.56663E+02	4.55251E-02	4.45670E-03
4.57505E-03	3.84772E-03	1.54619E+02	4.49400E-02	4.45755E-03
4.62716E-03	3.74828E-03	1.52607E+02	4.43557E-02	4.45758E-03
4.67931E-03	3.65038E-03	1.50624E+02	4.37729E-02	4.45689E-03
4.73149E-03	3.55414E-03	1.48665E+02	4.31923E-02	4.45570E-03
4.78370E-03	3.45970E-03	1.46728E+02	4.26149E-02	4.45414E-03
4.83591E-03	3.36722E-03	1.44811E+02	4.20418E-02	4.45237E-03
4.88811E-03	3.27685E-03	1.42913E+02	4.14741E-02	4.45055E-03
4.94030E-03	3.18877E-03	1.41034E+02	4.09133E-02	4.44882E-03
4.99247E-03	3.10320E-03	1.39176E+02	4.03610E-02	4.44732E-03
